file_name,transcription
data/testza085_01_01_audio_segment_1.wav,"Gut, dann sage ich einmal für das Band, heute ist der 16.10.2022."
data/testza085_01_01_audio_segment_2.wav,Wir sind zum Interview mit Prof. Dr. XXX.
data/testza085_01_01_audio_segment_3.wav,Haben Sie 2022 gesagt oder 2023?
data/testza085_01_01_audio_segment_4.wav,"Habe ich gesagt, weil ich das auch hingeschrieben habe, 2023."
data/testza085_01_01_audio_segment_5.wav,Sehr aufmerksam.
data/testza085_01_01_audio_segment_6.wav,"Sehen Sie, ich mache genauso blödsinnige Fehler."
data/testza085_01_01_audio_segment_7.wav,Noch schlimmer.
data/testza085_01_01_audio_segment_8.wav,"Also 23, genau."
data/testza085_01_01_audio_segment_9.wav,Und wir sind in Berlin.
data/testza085_01_01_audio_segment_10.wav,"Und wir, das sind XXX für die Produktion, XXX für die Kamera und XXX für das Interview."
data/testza085_01_01_audio_segment_11.wav,"Und wie besprochen, interessieren wir uns für Ihre ganze Lebensgeschichte."
data/testza085_01_01_audio_segment_12.wav,Und hören interessiert zu.
data/testza085_01_01_audio_segment_13.wav,Bitte erzählen Sie Ihre Lebensgeschichte.
data/testza085_01_01_audio_segment_14.wav,"Soll ich nicht mit dem Studium anfangen, sondern mit der ganzen Lebensgeschichte?"
data/testza085_01_01_audio_segment_15.wav,"Ja, ich würde sagen, Sie machen mal Ihre Lebensgeschichte."
data/testza085_01_01_audio_segment_16.wav,"Das Studium interessiert uns natürlich am allermeisten und egal in welcher Reihenfolge, aber wir würden uns natürlich auch sehr für Ihre Kindheit,"
data/testza085_01_01_audio_segment_17.wav,für Ihre Herkunft interessieren und für Ihre Berufstätigkeit interessieren.
data/testza085_01_01_audio_segment_18.wav,"Ich wehre mich kurz, sonst sind wir heute Abend noch nicht fertig."
data/testza085_01_01_audio_segment_19.wav,"Ich sage ja, wir kommen morgen wieder."
data/testza085_01_01_audio_segment_20.wav,Dann machen wir die anderen Phasen.
data/testza085_01_01_audio_segment_21.wav,"Also geboren, wie hier angegeben, 7.11.1922 und zwar in Burgstädt in Sachsen."
data/testza085_01_01_audio_segment_22.wav,Burgstädt liegt an der Mulde.
data/testza085_01_01_audio_segment_23.wav,"Und aus beruflichen Gründen sind meine Eltern mit mir, als ich sechs Jahre alt war, nach Berlin gezogen."
data/testza085_01_01_audio_segment_24.wav,Und dann ging ich erstmal in die Grundschule.
data/testza085_01_01_audio_segment_25.wav,"Und dann kam ich in die höhere Schule und dann kam der Beschluss meiner Eltern und meines Vaters vor allen Dingen, nebenbei bemerkt,"
data/testza085_01_01_audio_segment_26.wav,"die Großmutter, väterlicherseits, hatte neun Knaben."
data/testza085_01_01_audio_segment_27.wav,Das war also mein Vater.
data/testza085_01_01_audio_segment_28.wav,"Dann Onkel Otto und Onkel Fritz, die waren Ärzte."
data/testza085_01_01_audio_segment_29.wav,Die beide kamen irgendwie nach Aalen in Westfalen.
data/testza085_01_01_audio_segment_30.wav,"Onkel Fritz hatte da eine Klinik, Geburtshilfe und so weiter."
data/testza085_01_01_audio_segment_31.wav,Und Onkel Otto hatte eine Landpraxis.
data/testza085_01_01_audio_segment_32.wav,Onkel Fritz hatte einen Sohn.
data/testza085_01_01_audio_segment_33.wav,"Namens auch Fritz und der hatte keine große Lust mehr zu studieren, überhaupt das Abitur zu machen."
data/testza085_01_01_audio_segment_34.wav,"Hier gehörte nämlich zur Flagghelfer-Generation und das Westfalen und das in der Nähe liegende Ruhrgebiet war vor allen Dingen von englischen Fliegern behakt worden,"
data/testza085_01_01_audio_segment_35.wav,weil da also das Industriegebiet in der Nähe war.
data/testza085_01_01_audio_segment_36.wav,"Und da war dieser Fritz, das war also mein Cousin, jede Nacht mussten die schießen mit der Flak."
data/testza085_01_01_audio_segment_37.wav,"Und da hatte er keine große Lust, als der Krieg zu Ende war, wieder sich auf die Schulbank zu setzen, kam also als Student und übernahm der Praxis seines Vaters sich in Betracht."
data/testza085_01_01_audio_segment_38.wav,"Und Onkel Otto, der hatte ein Mädchen, eine meine Cousine Ruth."
data/testza085_01_01_audio_segment_39.wav,"Und damals war das also gar nicht üblich, dass Mädchen studierten hier in der Medizin."
data/testza085_01_01_audio_segment_40.wav,"Und da setzten sich die Brüder zusammen und sagten, ich war der einzige Nachkommende von den neuen Jungs."
data/testza085_01_01_audio_segment_41.wav,"Und da sagten die, der Hans Ulrich, der muss Medizin studieren und da muss er eine höhere Schule besuchen, wo es auch Latein gibt,"
data/testza085_01_01_audio_segment_42.wav,wo er das große Latino machen kann.
data/testza085_01_01_audio_segment_43.wav,"Und so kam ich dann letzten Endes in eine Schule, das war die Friedrich-Gerald-Schule und die war am Heineckeplatz in Berlin in Bergmann-Kiez."
data/testza085_01_01_audio_segment_44.wav,Und da machte ich also Abitur und das war 1940.
data/testza085_01_01_audio_segment_45.wav,Andere Jungs oder andere Kinder kriegten zum Abitur ein tolles Geschenk von ihren Eltern.
data/testza085_01_01_audio_segment_46.wav,Ich kriegte die Einberufung zum Arbeitsdienst.
data/testza085_01_01_audio_segment_47.wav,Soll ich da ein Lied dazu singen?
data/testza085_01_01_audio_segment_48.wav,Kennst du den Reichsarbeitsdienst?
data/testza085_01_01_audio_segment_49.wav,"Wisst du, was du da verdienst?"
data/testza085_01_01_audio_segment_50.wav,"Fressen wie noch nie, Behandlung wie ein Stück Vieh."
