file_name,transcription
data/eg088_01_01_ffmpeg_audio_segment_1.wav,"Dann sage ich für das Band, heute ist der 29. April 2024."
data/eg088_01_01_ffmpeg_audio_segment_2.wav,Wir sind zum Interview mit Frau Prof. Dr.  .
data/eg088_01_01_ffmpeg_audio_segment_3.wav,Wir sind in der Universitätsbibliothek.
data/eg088_01_01_ffmpeg_audio_segment_4.wav,"Und wir sind   für die Produktion,   für die Kamera und   für das Interview."
data/eg088_01_01_ffmpeg_audio_segment_5.wav,"Wir haben vorher besprochen, wie wir das machen, nämlich lebensgeschichtlich einzusteigen mit der Bitte,"
data/eg088_01_01_ffmpeg_audio_segment_6.wav,Ihre Lebensgeschichte zu erzählen.
data/eg088_01_01_ffmpeg_audio_segment_9.wav,"geradlinig insofern, als ich schon wirklich als Kind mich brennend für Geschichte interessiert habe und in die Wissenschaft wollte,"
data/eg088_01_01_ffmpeg_audio_segment_7.wav,"Im Zeitraffer könnte ich sagen,"
data/eg088_01_01_ffmpeg_audio_segment_8.wav,"dass meine Lebensgeschichte in einer Hinsicht sehr geradlinig ist und dann doch eine ganze Reihe von Umwegen er enthält,"
data/eg088_01_01_ffmpeg_audio_segment_14.wav,"und sie dann in früher Jugend auch erhalten und bis zum Schluss besetzt habe,"
data/eg088_01_01_ffmpeg_audio_segment_12.wav,"Das ist das Geradlinige,"
data/eg088_01_01_ffmpeg_audio_segment_11.wav,Und beides hat funktioniert.
data/eg088_01_01_ffmpeg_audio_segment_10.wav,"als Kind nicht gerade mit fünf oder sechs Jahren, aber dann doch so mit zehn, elf, zwölf."
data/eg088_01_01_ffmpeg_audio_segment_13.wav,"nur, dass ich nicht von Anfang an gewissermaßen die Professur im Auge hatte"
data/eg088_01_01_ffmpeg_audio_segment_15.wav,"sondern das ging ein bisschen, wie ich schon sagte, auf Umwegen."
data/eg088_01_01_ffmpeg_audio_segment_16.wav,"Ich bin in Stuttgart auf die Schule gegangen, eine, wie ich finde, sehr gute Mädchenschule damals noch."
data/eg088_01_01_ffmpeg_audio_segment_17.wav,"Und ich bin sehr gerne auf die Schule gegangen, habe dann in Heidelberg das Studium aufgenommen mit Geschichte."
data/eg088_01_01_ffmpeg_audio_segment_18.wav,"das war folgerichtig, und Semitistik,"
data/eg088_01_01_ffmpeg_audio_segment_19.wav,"Semitistik, weil ich gar nicht so genau wusste, was das ist, und dachte, ich interessiere mich für den Vorderen Orient,"
data/eg088_01_01_ffmpeg_audio_segment_20.wav,"ursprünglich kam dieses Interesse über die Ägyptologie, ich interessiere mich für den Vorderen Orient,"
data/eg088_01_01_ffmpeg_audio_segment_21.wav,"ich hatte schon etwas Arabisch gelernt, dass dann Semitistik einschlägig sei."
data/eg088_01_01_ffmpeg_audio_segment_22.wav,"Unter diesem Namen firmierte auch das Gebiet, das mich wirklich interessierte,"
data/eg088_01_01_ffmpeg_audio_segment_23.wav,"nämlich die Kultur, auch die Religion, aber vor allem die Kultur, die Geschichte, die Politik des Vorderen Orients."
data/eg088_01_01_ffmpeg_audio_segment_24.wav,"Schnell habe ich gemerkt, dass die Semitistik, so wie sie dort betrieben wurde,"
data/eg088_01_01_ffmpeg_audio_segment_25.wav,"a), wir sind jetzt in den frühen 1970er Jahren, noch sehr altmodisch unterrichtet wurde"
data/eg088_01_01_ffmpeg_audio_segment_26.wav,"und b) das Schwergewicht ganz auf Sprache oder sogar Sprachen gelegt hat,"
data/eg088_01_01_ffmpeg_audio_segment_27.wav,"während ich immer gerne Sprachen gelernt habe,"
data/eg088_01_01_ffmpeg_audio_segment_28.wav,aber mich für Geschichte und Kultur und auch Kunst und Politik interessiert hatte.
data/eg088_01_01_ffmpeg_audio_segment_29.wav,"Ich habe also eine Krise bekommen und gedacht, nun muss ich etwas machen, was meinen Interessen entspricht,"
data/eg088_01_01_ffmpeg_audio_segment_30.wav,"aber doch auch gesellschaftlich relevant und nützlich ist,"
data/eg088_01_01_ffmpeg_audio_segment_31.wav,"und habe auf Staatsexamen umgesattelt mit Geschichte, Politik, Wissenschaft, Anglistik,"
data/eg088_01_01_ffmpeg_audio_segment_32.wav,"aber mir das Fach Islamwissenschaft, das ich mittlerweile auch entdeckt hatte,"
data/eg088_01_01_ffmpeg_audio_segment_33.wav,doch noch offen gehalten und dieses gewissermaßen parallel verfolgt mit einem einem Sprung nach Bonn
data/eg088_01_01_ffmpeg_audio_segment_34.wav,"und dann einem Jahr in England,"
data/eg088_01_01_ffmpeg_audio_segment_35.wav,"habe dann ein Staatsexamen in Heidelberg abgelegt, Geschichte, Politik, Anglistik,"
data/eg088_01_01_ffmpeg_audio_segment_36.wav,"und für die Promotion mich dann aber in die Islamwissenschaft begeben und habe bei jemandem promoviert,"
data/eg088_01_01_ffmpeg_audio_segment_37.wav,"der, da muss ich gar nicht gendern, der die Islamwissenschaft mit historischer Perspektive vertreten hat,"
data/eg088_01_01_ffmpeg_audio_segment_38.wav,"und bei ihm, der aber auf den frühen Islam spezialisiert war, eine Doktorarbeit über die Juden in Ägypten geschrieben."
data/eg088_01_01_ffmpeg_audio_segment_39.wav,Das war sicherlich durch mein starkes Interesse auch an der deutschen Geschichte
data/eg088_01_01_ffmpeg_audio_segment_40.wav,"und mein, ja, Entsetzen über die nationalsozialistische Zeit mitbegründet."
data/eg088_01_01_ffmpeg_audio_segment_42.wav,"es auch so etwas wie eine jüdische Frage gäbe und wenn, in welcher Form."
data/eg088_01_01_ffmpeg_audio_segment_41.wav,"Das Interesse war, zu wissen, ob in einem Land wie Ägypten, worauf ich mich ja konzentriert hatte,"
data/eg088_01_01_ffmpeg_audio_segment_43.wav,Meine Antwort war letztlich Nein.
data/eg088_01_01_ffmpeg_audio_segment_44.wav,"Das war auch hochinteressant, weil wir ein bisschen dazu tendieren, aus der deutschen Perspektive zu glauben,"
data/eg088_01_01_ffmpeg_audio_segment_45.wav,die ganze Welt habe im Prinzip ähnliche Probleme mit dieser jüdischen Frage wie wir.
data/eg088_01_01_ffmpeg_audio_segment_46.wav,"Als ich fertig war mit einem Diplom der arabischen Sprache in der Hand,"
data/eg088_01_01_ffmpeg_audio_segment_47.wav,"einem Staatsexamen in Geschichte, Politik, Anglistik und einer Promotion in Islamwissenschaft,"
data/eg088_01_01_ffmpeg_audio_segment_48.wav,"waren die Professuren in der Islamwissenschaft aber alle besetzt,"
data/eg088_01_01_ffmpeg_audio_segment_49.wav,"denn in der Zeit waren eine ganze Reihe jüngerer Wissenschaftlerinnen und Wissenschaftler,"
data/eg088_01_01_ffmpeg_audio_segment_50.wav,"mehrheitlich noch Wissenschaftler, auf die Professuren gelangt."
data/eg088_01_01_ffmpeg_audio_segment_51.wav,"Und es war abzusehen, dass auf absehbare Zeit sich da nichts ergeben würde,"
data/eg088_01_01_ffmpeg_audio_segment_52.wav,"weil es auch noch nicht so viele Stellen gab, wie es heute der Fall ist."
data/eg088_01_01_ffmpeg_audio_segment_53.wav,"Ich hatte dann das Glück, und ich spreche von Glück, dass ich an einem außeruniversitären Forschungsinstitut,"
data/eg088_01_01_ffmpeg_audio_segment_54.wav,"und zwar einem Think Tank für Außen- und Sicherheitspolitik, erst eine zeitlich befristete und dann eine feste Stelle bekam,"
data/eg088_01_01_ffmpeg_audio_segment_55.wav,"und zwar in der Abteilung Nah- und Mittelost, Strukturentwicklung in Nah- und Mittelost."
data/eg088_01_01_ffmpeg_audio_segment_56.wav,"An dem Institut bin ich zehn Jahre geblieben, Stiftung Wissenschaft und Politik,"
data/eg088_01_01_ffmpeg_audio_segment_57.wav,"damals Ebenhausen bei München, heute in Berlin."
data/eg088_01_01_ffmpeg_audio_segment_58.wav,"Und es war insofern ein Glück, als ich dort Kontakt bekommen habe zu Menschen mit durchaus ernsthaftem,"
data/eg088_01_01_ffmpeg_audio_segment_59.wav,"durchaus zum Teil auch wissenschaftlichem Interesse, aber nicht in der Wissenschaft verankert, sondern alles,"
data/eg088_01_01_ffmpeg_audio_segment_60.wav,"von Kirchen über Gewerkschaften bis zu Außen- und Sicherheitspolitik,"
data/eg088_01_01_ffmpeg_audio_segment_61.wav,"Bundestagsabgeordnete, Ministerialbeamte und dergleichen mehr,"
data/eg088_01_01_ffmpeg_audio_segment_62.wav,"eine eine Horizonterweiterung und eine doch extensive Erfahrung damit,"
data/eg088_01_01_ffmpeg_audio_segment_63.wav,"meine eigenen Interessen, mein Wissensgebiet Menschen zu vermitteln,"
data/eg088_01_01_ffmpeg_audio_segment_64.wav,die nicht primär von wissenschaftlichen oder gar islamwissenschaftlichen Fragestellungen herkamen.
data/eg088_01_01_ffmpeg_audio_segment_65.wav,Davon habe ich enorm profitiert.
data/eg088_01_01_ffmpeg_audio_segment_66.wav,"Ich bin heute noch stellvertretender Vorstand der Stiftung Wissenschaft und Politik, habe die Bande also nicht gekappt,"
data/eg088_01_01_ffmpeg_audio_segment_67.wav,aber die Uni dennoch im Blick behalten und mich während meiner Zeit bei der Stiftung Wissenschaft und Politik habilitiert.
data/eg088_01_01_ffmpeg_audio_segment_68.wav,"Da muss ich es dem damaligen Direktor hoch anrechnen, dass er mir den Freiraum dafür gegeben hat,"
data/eg088_01_01_ffmpeg_audio_segment_69.wav,"denn ein Beratungsinstitut, ein Think Tank, ist nicht dazu da,"
data/eg088_01_01_ffmpeg_audio_segment_70.wav,dass die Leute sich dort habilitieren mit einem ganz anderen Berufsziel.
